Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BP2245,bscN,1335,3,2,1,0.00225,1.5943,putative ATP synthase in type III secretion system,virulence-associated genes,Cytoplasmic,+
BP3652,-,1335,3,1,2,0.00225,1.5916,putative cytochrome c asssembly protein,energy metabolism,Cytoplasmic Membrane,
BP0936,-,891,2,1,1,0.00224,1.5515,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2863,-,891,2,0,2,0.00224,1.5494,conserved hypothetical protein,unknown,Cytoplasmic,
BP0194,-,894,2,0,2,0.00224,1.5522,probable metal transporter,transport/binding proteins,Cytoplasmic Membrane,
BP1294,psd,894,2,2,0,0.00224,1.5502,phosphatidylserine decarboxylase proenzyme,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP1399,flaO,447,1,1,0,0.00224,1.5387,flagellar protein FliJ,cell processes,Cytoplasmic,
BP2471,-,1341,3,2,1,0.00224,1.5938,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3394,-,447,1,0,1,0.00224,1.5372,conserved hypothetical protein,unknown,Cytoplasmic,
BP3735,-,894,2,0,2,0.00224,1.5481,UbiA prenyltransferase family protein,cell surface,Cytoplasmic Membrane,
BP0368,gdhA,1344,3,1,2,0.00223,1.5895,NADP-specific glutamate dehydrogenase,amino acid biosynthesis,Unknown,
BP0108,rfbD,897,2,1,1,0.00223,1.5449,dTDP-4-dehydrorhamnose reductase,cell surface,Cytoplasmic,
BP2855,-,1347,3,3,0,0.00223,1.5932,membrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP0212,-,900,2,0,2,0.00222,1.5496,putative hydrolase,miscellaneous,Periplasmic,
BP0273,sspB,450,1,0,1,0.00222,1.5360,stringent starvation protein B,adaptation,Unknown,
BP1456,-,900,2,1,1,0.00222,1.5476,LysR-family transcriptional regulator,regulation,Unknown,
BP1979,-,900,2,1,1,0.00222,1.5456,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2028,-,450,1,0,1,0.00222,1.5346,putative exported protein,cell surface,Periplasmic,
BP2102,-,900,2,0,2,0.00222,1.5436,putative lysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2391,-,1800,4,1,3,0.00222,1.6138,putative aminopeptidase,macromolecule degradation,Unknown,+
BP2394,-,900,2,1,2,0.00222,1.5416,putative binding-protein-dependent transport permease,transport/binding proteins,Cytoplasmic Membrane,+
BP3693,-,900,2,2,0,0.00222,1.5397,LysR family regulatoy protein,regulation,Cytoplasmic Membrane,
BP3840,-,900,2,0,2,0.00222,1.5377,conserved hypothetical protein (pseudogene),pseudogenes,ND,
BP0393,-,901,2,2,0,0.00222,1.5379,putative membrane protein (Pseudogene),pseudogenes,ND,
BP3725,nadC,902,2,1,1,0.00222,1.5382,putative nicotinate-nucleotide pyrophosphorylase,central/intermediary metabolism,Cytoplasmic,-
BP1607,-,903,2,0,2,0.00221,1.5384,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2195,-,1356,3,1,2,0.00221,1.5964,putative GTP-binding protein,miscellaneous,Cytoplasmic,
BP2849,-,905,2,0,2,0.00221,1.5409,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1168,-,906,2,2,0,0.00221,1.5392,LysR-family transcriptional regulator,regulation,Cytoplasmic Membrane,
BP1205,-,453,1,0,1,0.00221,1.5362,conserved hypothetical protein,conserved hypothetical,Unknown,+
BP1346,-,906,2,0,2,0.00221,1.5372,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2609,-,1359,3,0,3,0.00221,1.5975,conserved hypothetical protein,miscellaneous,Cytoplasmic,
BP2786,-,453,1,0,1,0.00221,1.5348,conserved hypothetical protein,unknown,Unknown,
BP2917,-,453,1,0,1,0.00221,1.5333,putative exported protein,cell surface,Cytoplasmic Membrane,
BP3412,-,453,1,0,1,0.00221,1.5319,putative inner membrane protein,cell surface,Cytoplasmic Membrane,
BP3133,-,909,2,0,2,0.00220,1.5418,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP3455,-,909,2,2,0,0.00220,1.5399,putative taurine dioxygenase,small molecule degradation,Cytoplasmic,
BP1250,bipA,1821,4,4,0,0.00220,1.6104,GTP-binding elongation factor,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP1384,cheD,1821,4,1,3,0.00220,1.6072,methyl-accepting chemotaxis protein I,cell processes,Cytoplasmic Membrane,
BP0396,-,456,1,0,1,0.00219,1.5335,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0958,cysM,912,2,1,2,0.00219,1.5445,cysteine synthase B,amino acid biosynthesis,Cytoplasmic,
BP1430,fabZ,456,1,0,1,0.00219,1.5321,(3R)-hydroxymyristol-[acyl carrier protein] dehydratase,fatty acid metabolism,Cytoplasmic,
BP2422,-,456,1,1,0,0.00219,1.5307,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2793,rplI,456,1,1,0,0.00219,1.5292,50s ribosomal protein l9,ribosome constituents,Cytoplasmic,
BP2799,-,912,2,1,1,0.00219,1.5425,probable geranyltranstransferase,central/intermediary metabolism,Cytoplasmic,
BP1120,maeB,2283,5,1,4,0.00219,1.6142,NADP-dependent malic enzyme,central/intermediary metabolism,Cytoplasmic,
BP0889,accC,1371,3,1,2,0.00219,1.5991,biotin carboxylase,fatty acid metabolism,Cytoplasmic,
BP0765,-,915,2,1,2,0.00219,1.5432,probable extracellular solute-binding protein,transport/binding proteins,Periplasmic,
BP2346,-,915,2,1,1,0.00219,1.5413,putative inner membrane permease polyamine transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP0524,-,916,2,2,0,0.00218,1.5415,probable transcriptional regulator (Pseudogene),pseudogenes (phase-variable),ND,
BP1324,malA,1374,3,2,1,0.00218,1.6001,putative 4-alpha-glucanotransferase (pseudogene),pseudogenes,ND,
BP1410,flaV,1374,3,1,2,0.00218,1.5975,flagellar hook-associated protein 2,cell processes,Extracellular,
BP0005,parB,918,2,1,1,0.00218,1.5381,probable chromosome partitioning protein ParB,cell division,Cytoplasmic,
BP0862,-,918,2,2,0,0.00218,1.5362,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1087,-,459,1,1,0,0.00218,1.5266,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1460,-,1377,3,1,2,0.00218,1.5909,putative membrane protein (Pseudogene),pseudogenes,ND,
BP1579,-,918,2,1,1,0.00218,1.5343,putative cytochrome C,energy metabolism,Periplasmic,+
BP2126,-,459,1,0,1,0.00218,1.5252,putative oxidoreductase subunit,miscellaneous,Unknown,
BP2141,-,459,1,0,1,0.00218,1.5238,putative exported protein,cell surface,Unknown,+
BP0573,trkA,1380,3,3,0,0.00217,1.5919,Trk system potassium uptake protein,transport/binding proteins,Cytoplasmic Membrane,
BP1999,-,921,2,0,2,0.00217,1.5388,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3298,-,921,2,0,2,0.00217,1.5369,putative binding-protein-dependent transport permease,transport/binding proteins,Cytoplasmic Membrane,+
BP3398,ilvE,921,2,2,0,0.00217,1.5350,branched-chain amino acid aminotransferase,amino acid biosynthesis,Cytoplasmic,+
BP3860,-,921,2,1,1,0.00217,1.5331,putative transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP2648,-,1383,3,0,5,0.00217,1.5854,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2995,prmA,922,2,1,1,0.00217,1.5315,ribosomal protein L11 methyltransferase (Pseudogene),pseudogenes (phase-variable),ND,
BP3801,-,1383,3,1,2,0.00217,1.5829,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1303,-,1384,3,2,1,0.00217,1.5799,conserved hypothetical protein (Pseudogene),pseudogenes,ND,-
BP2302,-,924,2,1,1,0.00216,1.5300,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2945,-,462,1,1,0,0.00216,1.5268,hypothetical protein (pseudogene),pseudogenes,ND,
BP0184,-,3699,8,5,4,0.00216,1.6175,putative exported protein,cell surface,Outer Membrane,
BP0467,-,1851,4,1,3,0.00216,1.6001,acetolactate synthase large subunit,amino acid biosynthesis,Cytoplasmic,
BP2973,dbpA,1389,3,2,1,0.00216,1.5751,probable ATP-dependent RNA helicase,ribosome constituents,Cytoplasmic,
BP0283,-,927,2,1,1,0.00216,1.5326,putative 2-hydroxyacid dehydrogenase,miscellaneous,Periplasmic,
BP0693,-,927,2,1,1,0.00216,1.5308,Hpr serine kinase/phosphatase,regulation,Cytoplasmic,
BP1440,-,927,2,2,0,0.00216,1.5289,putative membrane protein,cell surface,Unknown,
BP3211,dasF,464,1,1,0,0.00216,1.5273,ribonuclease HI,macromolecule degradation,Unknown,
BP0376,mreD,465,1,1,0,0.00215,1.5255,rod shape-determining protein,cell surface,Cytoplasmic Membrane,
BP2039,-,1395,3,1,2,0.00215,1.5797,putative amidase,miscellaneous,Cytoplasmic,
BP2746,-,930,2,1,1,0.00215,1.5277,"putative ABC transport protein, inner membrane component",transport/binding proteins,Cytoplasmic Membrane,+
BP2856,-,930,2,1,1,0.00215,1.5259,conserved hypothetical protein,conserved hypothetical,Unknown,
BP0722,-,1398,3,1,2,0.00215,1.5710,probable amidase,small molecule degradation,Cytoplasmic,-
BP2304,-,933,2,1,1,0.00214,1.5284,putative 2-hydroxyacid dehydrogenase,miscellaneous,Cytoplasmic,
BP0412,-,1401,3,2,1,0.00214,1.5746,putative GntR-family transcriptional regulator,regulation,Cytoplasmic,
BP1427,-,2337,5,2,3,0.00214,1.6223,probable surface antigen,cell surface,Outer Membrane,
BP3533,exbD,468,1,0,1,0.00214,1.5242,biopolymer transport protein ExbD/TolR,adaptation,Cytoplasmic Membrane,
BP2172,-,939,2,0,2,0.00213,1.5335,putative cytochrome C oxidase subunit,energy metabolism,Cytoplasmic Membrane,+
BP1749,-,470,1,0,1,0.00213,1.5261,putative AsnC-family transcriptional regulator,regulation,Cytoplasmic,+
BP2906,-,1410,3,3,0,0.00213,1.5517,putative oxidoreductase,miscellaneous,Cytoplasmic,
BP0062,-,942,2,0,2,0.00212,1.5341,hypothetical protein,unknown,Cytoplasmic,-
BP0601,-,471,1,0,1,0.00212,1.5257,rRNA methylase,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP2526,-,1413,3,1,2,0.00212,1.5552,putative secretory apparatus,cell surface,Outer Membrane,
BP3002,-,1884,4,1,3,0.00212,1.6147,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3458,-,942,2,1,1,0.00212,1.5323,binding-protein-dependent transport systems inner membrane component,transport/binding proteins,Cytoplasmic Membrane,
BP3463,-,942,2,0,2,0.00212,1.5304,LysR family regulatory protein,regulation,Cytoplasmic,
BP2956,-,1416,3,1,2,0.00212,1.5540,hypothetical protein,miscellaneous,Outer Membrane,
BP1666,-,945,2,1,1,0.00212,1.5275,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2654,-,945,2,0,2,0.00212,1.5256,probable dihydrodipicolinate synthase,amino acid biosynthesis,Cytoplasmic,
BP3712,-,945,2,1,1,0.00212,1.5238,putative oxidoreductase,miscellaneous,Cytoplasmic,
BP2620,-,1419,3,1,2,0.00211,1.5551,probable membrane efflux protein,transport/binding proteins,Cytoplasmic Membrane,
BP0689,-,947,2,0,2,0.00211,1.5243,putative lipoprotein,cell surface,Unknown,
BP1055,cysG,1422,3,1,2,0.00211,1.5516,siroheme synthase,cofactor biosynthesis,Cytoplasmic,+
BP1376,fla FV,1422,3,2,1,0.00211,1.5493,flagellar hook protein FlgE,cell processes,Extracellular,
BP1856,-,949,2,1,1,0.00211,1.5265,probable arginase (Pseudogene),pseudogenes (phase-variable),ND,
BP3021,ddl,951,2,1,1,0.00210,1.5288,D-alanine--D-alanine ligase B,cell surface,Cytoplasmic,
BP3501,-,951,2,0,2,0.00210,1.5270,putative exported protein,cell surface,Periplasmic,-
BP3624,-,1428,3,3,0,0.00210,1.5516,putative aldehyde dehydrogenase,small molecule degradation,Cytoplasmic,
BP2287,-,1429,3,1,2,0.00210,1.5466,putative outer membrane protein (pseudogene),pseudogenes (phase-variable),ND,
BP0321,pyrB,954,2,1,1,0.00210,1.5312,aspartate carbamoyltransferase,ribonucleotide biosynthesis,Cytoplasmic,+
BP1416,dsbB,477,1,0,1,0.00210,1.5313,disulfide bond formation protein B,cell processes,Cytoplasmic Membrane,
BP1936,-,477,1,0,1,0.00210,1.5299,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1994,-,477,1,1,1,0.00210,1.5285,putative exported protein,cell surface,Cytoplasmic Membrane,
BP3543,-,954,2,0,2,0.00210,1.5294,putative D-isomer specific 2-hydroxyacid dehydrogenase,miscellaneous,Cytoplasmic,
BP0771,-,957,2,1,1,0.00209,1.5300,putative exported protein,cell surface,Periplasmic,
BP1208,-,957,2,0,2,0.00209,1.5282,putative exported protein,cell surface,Periplasmic,
BP1499,gsh-II,957,2,1,1,0.00209,1.5264,glutathione synthetase,cofactor biosynthesis,Cytoplasmic,-
BP3273,-,959,2,2,0,0.00209,1.5287,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2133,-,1440,3,1,2,0.00208,1.5583,putative transmembrane efflux protein,transport/binding proteins,Cytoplasmic Membrane,-
BP2147,-,480,1,1,0,0.00208,1.5299,putative exported protein,cell surface,Unknown,+
BP2382,-,480,1,0,1,0.00208,1.5285,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1260,glnE,2883,6,2,4,0.00208,1.6014,glutamate-ammonia-ligase adenylyltransferase,central/intermediary metabolism,Unknown,
BP1790,-,962,2,1,1,0.00208,1.5275,putative exported protein (Pseudogene),pseudogenes (phase-variable),ND,+
BP0437,-,963,2,0,2,0.00208,1.5277,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1761,-,1926,4,2,2,0.00208,1.6108,probable ABC transporter ATP-binding protein,transport/binding proteins,Unknown,
BP0303,-,966,2,0,2,0.00207,1.5301,"probable branched-chain amino acid transport system, permease component",transport/binding proteins,Cytoplasmic Membrane,
BP0561,-,966,2,1,1,0.00207,1.5283,putative exported protein,cell surface,Periplasmic,
BP0431,-,3387,7,3,4,0.00207,1.5698,putative molybdopterin oxidoreductase,miscellaneous,Periplasmic,
BP3420,-,969,2,1,1,0.00206,1.5272,putative serine/threonine dehydratase,small molecule degradation,Cytoplasmic,
BP3646,-,1938,4,2,2,0.00206,1.6098,thiol:disulfide interchange protein,cell processes,Cytoplasmic Membrane,
BP0400,-,485,1,0,1,0.00206,1.5371,putative acetyltransferase (pseudogene),pseudogenes,ND,
BP2950,-,970,2,0,2,0.00206,1.5274,putative AraC-family transcriptional regulator (pseudogene),pseudogenes (phase-variable),ND,
BP2833,-,971,2,1,1,0.00206,1.5240,putative membrane protein (pseudogene),pseudogenes,ND,
BP0649,-,972,2,1,1,0.00206,1.5243,putative exported protein,cell surface,Periplasmic,
BP1010,-,486,1,0,1,0.00206,1.5325,putative acetyltransferase,miscellaneous,Unknown,
BP1201,tcfA,1944,4,1,3,0.00206,1.6011,tracheal colonization factor precursor,virulence-associated genes,Outer Membrane,+
BP1780,-,972,2,1,1,0.00206,1.5225,putative exported protein,cell surface,Periplasmic,
BP1946,-,486,1,0,1,0.00206,1.5312,MarR-family transcriptional regulator,regulation,Unknown,
BP2605,-,972,2,1,1,0.00206,1.5208,putative Arac-family transcriptional regulatory protein,regulation,Cytoplasmic,
BP2711,moaC,486,1,1,0,0.00206,1.5298,molybdenum cofactor biosynthesis protein,cofactor biosynthesis,Cytoplasmic,
BP3544,-,972,2,0,2,0.00206,1.5190,putative lipoprotein,cell surface,Periplasmic,-
BP0360,-,1461,3,2,1,0.00205,1.5460,probable aldehyde dehydrogenase,miscellaneous,Cytoplasmic,
BP0628,-,975,2,1,1,0.00205,1.5231,putative pyruvate dehydrogenase E1 beta subunit,miscellaneous,Cytoplasmic,-
BP1887,-,975,2,0,2,0.00205,1.5214,putative exported protein,cell surface,Periplasmic,-
BP2461,alcR,975,2,1,1,0.00205,1.5196,Transcriptional regulator,regulation,Cytoplasmic,
BP0667,-,489,1,0,1,0.00204,1.5310,AsnC-family transcriptional regulator,regulation,Cytoplasmic,
BP0736,bfrF,2445,5,2,3,0.00204,1.6026,putative ferric siderophore receptor,virulence-associated genes,Outer Membrane,
BP0849,nuoI,489,1,1,0,0.00204,1.5297,"NADH-ubiquinone oxidoreductase, chain I",energy metabolism,Cytoplasmic,
BP1414,cvpA,489,1,1,0,0.00204,1.5283,colicin V production protein,protection responses,Cytoplasmic Membrane,
BP1743,-,489,1,0,1,0.00204,1.5270,hypothetical protein,unknown,Unknown,
BP2789,-,978,2,0,2,0.00204,1.5237,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3299,-,978,2,1,1,0.00204,1.5220,putative binding-protein-dependent transport permease,transport/binding proteins,Cytoplasmic Membrane,
BP3573,-,978,2,0,2,0.00204,1.5202,putative branched-chain amino acid transport permease,transport/binding proteins,Cytoplasmic Membrane,
BP0574,trkH,1470,3,1,2,0.00204,1.5514,Trk system potassium uptake protein,transport/binding proteins,Cytoplasmic Membrane,
BP2921,-,1470,3,2,1,0.00204,1.5493,putative exported protein,cell surface,Cytoplasmic Membrane,-
BP0901,-,981,2,1,1,0.00204,1.5208,putative oxidoreductase,miscellaneous,Cytoplasmic,-
BP3818,-,981,2,1,1,0.00204,1.5191,type 4 prepilin-like proteins leader peptide processing enzyme,cell surface,Cytoplasmic Membrane,
BP0250,-,984,2,0,2,0.00203,1.5232,putative exported protein,cell surface,Periplasmic,
BP0790,brnP,492,1,1,0,0.00203,1.5282,acetolactate synthase small subunit,amino acid biosynthesis,Cytoplasmic,
BP1890,-,492,1,0,1,0.00203,1.5269,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3116,-,2952,6,4,2,0.00203,1.6299,putative modification methylase,macromolecule synthesis/modification,Cytoplasmic,
BP3868,-,492,1,1,0,0.00203,1.5255,putative membrane protein,cell surface,Cytoplasmic Membrane,-
BP2000,-,986,2,1,1,0.00203,1.5235,putative membrane protein (Pseudogene),pseudogenes,ND,
BP1084,thrB,987,2,0,2,0.00203,1.5220,homoserine kinase,amino acid biosynthesis,Cytoplasmic,
BP2443,fabH,987,2,1,1,0.00203,1.5203,3-oxoacyl-[acyl-carrier-protein] synthase III,fatty acid metabolism,Unknown,
BP2513,-,987,2,0,2,0.00203,1.5186,putative exported protein,cell surface,Periplasmic,
BP0436,-,495,1,0,1,0.00202,1.5227,conserved hypothetical protein,conserved hypothetical,Unknown,
BP0928,-,990,2,1,1,0.00202,1.5226,LysR-type transcriptional regulator,regulation,Cytoplasmic,
BP1498,fit,495,1,0,1,0.00202,1.5214,translation initiation factor IF-3,macromolecule synthesis/modification,Cytoplasmic,-
BP2283,hcz,990,2,0,2,0.00202,1.5209,quinone oxidoreductase,cofactor biosynthesis,Cytoplasmic,
BP2365,mdH,990,2,1,1,0.00202,1.5192,malate dehydrogenase,energy metabolism,Cytoplasmic,
BP2873,-,990,2,0,2,0.00202,1.5175,putative exported protein,cell surface,Periplasmic,+/-
BP3686,-,495,1,1,0,0.00202,1.5201,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3790,-,2475,5,1,4,0.00202,1.6029,putative bacterial secretion system protein,transport/binding proteins,Cytoplasmic Membrane,+
BP1858,aldH,1486,3,1,2,0.00202,1.5672,probable aldehyde dehydrogenase (Pseudogene),pseudogenes,ND,
BP0819,-,993,2,2,0,0.00201,1.5215,putative exported protein,cell surface,Unknown,
BP0027,-,498,1,1,0,0.00201,1.5213,MaoC family protein,miscellaneous,Unknown,
BP0380,-,1494,3,0,3,0.00201,1.5620,putative Sodium:sulfate symportert,transport/binding proteins,Cytoplasmic Membrane,+
BP2122,-,499,1,0,1,0.00200,1.5208,putative membrane protein (pseudogene),pseudogenes,ND,
BP2320,-,1500,3,0,3,0.00200,1.5620,putative inner membrane efflux protein,protection responses,Cytoplasmic Membrane,
BP1886,-,501,1,1,1,0.00200,1.5224,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3662,ssb,501,1,0,1,0.00200,1.5211,single-strand binding protein,macromolecule synthesis/modification,Cytoplasmic,
BP3859,-,1002,2,0,2,0.00200,1.5299,putative transport system ATP-binding protein,transport/binding proteins,Cytoplasmic Membrane,
BP0046,-,1003,2,1,2,0.00199,1.5283,probable malate/L-lactate dehydrogenase (Pseudogene),pseudogenes (phase-variable),ND,+
BP2111,-,1506,3,1,2,0.00199,1.5619,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0852,nuoL,2013,4,2,2,0.00199,1.5804,"NADH-ubiquinone oxidoreductase, chain L",energy metabolism,Cytoplasmic Membrane,
BP0094,rfaC,1008,2,1,1,0.00198,1.5326,probable heptosyltransferase,cell surface,Cytoplasmic,
BP0777,-,1008,2,0,2,0.00198,1.5309,probable Zinc-binding dehydrogenase,miscellaneous,Cytoplasmic,-
